Date,Volume
2000-01-03,931800000
2000-01-04,1009000000
2000-01-05,1085500000
2000-01-06,1092300000
2000-01-07,1225200000
2000-01-10,1064800000
2000-01-11,1014000000
2000-01-12,974600000
2000-01-13,1030400000
2000-01-14,1085900000
2000-01-18,1056700000
2000-01-19,1087800000
2000-01-20,1100700000
2000-01-21,1209800000
2000-01-24,1115800000
2000-01-25,1073700000
2000-01-26,1117300000
2000-01-27,1129500000
2000-01-28,1095800000
2000-01-31,993800000
2000-02-01,981000000
2000-02-02,1038600000
2000-02-03,1146500000
2000-02-04,1045100000
2000-02-07,918100000
2000-02-08,1047700000
2000-02-09,1050500000
2000-02-10,1058800000
2000-02-11,1025700000
2000-02-14,927300000
2000-02-15,1092100000
2000-02-16,1018800000
2000-02-17,1034800000
2000-02-18,1042300000
2000-02-22,980000000
2000-02-23,993700000
2000-02-24,1215000000
2000-02-25,1065200000
2000-02-28,1026500000
2000-02-29,1204300000
2000-03-01,1274100000
2000-03-02,1198600000
2000-03-03,1150300000
2000-03-06,1029000000
2000-03-07,1314100000
2000-03-08,1203000000
2000-03-09,1123000000
2000-03-10,1138800000
2000-03-13,1016100000
2000-03-14,1094000000
2000-03-15,1302800000
2000-03-16,1482300000
2000-03-17,1295100000
2000-03-20,920800000
2000-03-21,1065900000
2000-03-22,1075000000
2000-03-23,1078300000
2000-03-24,1052200000
2000-03-27,901000000
2000-03-28,959100000
2000-03-29,1061900000
2000-03-30,1193400000
2000-03-31,1227400000
2000-04-03,1021700000
2000-04-04,1515460000
2000-04-05,1110300000
2000-04-06,1008000000
2000-04-07,891600000
2000-04-10,853700000
2000-04-11,971400000
2000-04-12,1175900000
2000-04-13,1032000000
2000-04-14,1279700000
2000-04-17,1204700000
2000-04-18,1109400000
2000-04-19,1001400000
2000-04-20,896200000
2000-04-24,868700000
2000-04-25,1071100000
2000-04-26,999600000
2000-04-27,1111000000
2000-04-28,984600000
2000-05-01,966300000
2000-05-02,1011500000
2000-05-03,991600000
2000-05-04,925800000
2000-05-05,805500000
2000-05-08,787600000
2000-05-09,896600000
2000-05-10,1006400000
2000-05-11,953600000
2000-05-12,858200000
2000-05-15,854600000
2000-05-16,955500000
2000-05-17,820500000
2000-05-18,807900000
2000-05-19,853700000
2000-05-22,869000000
2000-05-23,869900000
2000-05-24,1152300000
2000-05-25,984500000
2000-05-26,722600000
2000-05-30,844200000
2000-05-31,960500000
2000-06-01,960100000
2000-06-02,1162400000
2000-06-05,838600000
2000-06-06,950100000
2000-06-07,854600000
2000-06-08,854300000
2000-06-09,786000000
2000-06-12,774100000
2000-06-13,935900000
2000-06-14,929700000
2000-06-15,1011400000
2000-06-16,1250800000
2000-06-19,921700000
2000-06-20,1031500000
2000-06-21,1009600000
2000-06-22,1022700000
2000-06-23,847600000
2000-06-26,889000000
2000-06-27,1042500000
2000-06-28,1095100000
2000-06-29,1110900000
2000-06-30,1459700000
2000-07-03,451900000
2000-07-05,1019300000
2000-07-06,947300000
2000-07-07,931700000
2000-07-10,838700000
2000-07-11,980500000
2000-07-12,1001200000
2000-07-13,1026800000
2000-07-14,960600000
2000-07-17,906000000
2000-07-18,908300000
2000-07-19,909400000
2000-07-20,1064600000
2000-07-21,968300000
2000-07-24,880300000
2000-07-25,969400000
2000-07-26,1235800000
